rank,player,region,age,tours,points
1,i swiatek,pol,22,19,9770
2,a sabalenka,,25,16,8905
3,c gauff,usa,19,19,7200
4,j pegula,usa,29,21,5705
5,e rybakina,kaz,24,18,5688
6,o jabeur,tun,29,20,4076
7,q zheng,chn,21,22,3950
8,m vondrusova,cze,24,16,3846
9,m sakkari,gre,28,24,3710
10,k muchova,cze,27,14,3520
11,j ostapenko,lat,26,24,3473
12,b krejcikova,cze,28,21,3081
13,b h maia,bra,27,23,2950
14,d kasatkina,,26,25,2838
15,l samsonova,,25,24,2700
16,v kudermetova,,26,25,2495
17,m keys,usa,28,17,2478
18,p kvitova,cze,33,15,2465
19,e alexandrova,,29,25,2410
20,e svitolina,ukr,29,15,2212
21,c garcia,fra,30,26,2075
22,b bencic,sui,26,15,1837
23,e navarro,usa,22,30,1803
24,e martens,bel,28,24,1751
25,j paolini,ita,28,29,1735
26,s cirstea,rou,33,23,1722
27,a potapova,,22,20,1682
28,d vekic,cro,27,22,1630
29,d yastremska,ukr,23,29,1617
30,m kostyuk,ukr,21,21,1571
31,l noskova,cze,19,21,1494
32,a kalinina,ukr,26,26,1480
33,v azarenka,,34,20,1471
34,a pavlyuchenkova,,32,19,1432
35,m andreeva,,16,13,1408
36,m bouzkova,cze,25,24,1382
37,l tsurenko,ukr,34,18,1363
38,l fernandez,can,21,25,1355
39,s stephens,usa,30,21,1322
40,a kalinskaya,,25,20,1314
41,x wang,chn,22,24,1281
42,k siniakova,cze,27,22,1274
43,c dolehide,usa,25,26,1263
44,c burel,fra,22,22,1238
45,a rus,ned,33,29,1238
46,v gracheva,fra,23,27,1230
47,s kenin,usa,25,20,1225
48,k boulter,gbr,27,23,1218
49,t maria,ger,36,31,1205
50,p martic,cro,33,20,1194
51,a blinkova,,25,28,1192
52,m frech,pol,26,30,1185
53,l bronzetti,ita,25,31,1139
54,s s tormo,esp,27,18,1137
55,m linette,pol,31,25,1126
56,e cocciaretto,ita,23,21,1119
57,l zhu,chn,30,25,1117
58,m trevisan,ita,30,25,1105
59,d parry,fra,21,35,1063
60,x wang,chn,22,26,1054
61,e avanesyan,,21,24,1049
62,m sherif,egy,27,25,1033
63,p stearns,usa,22,23,1032
64,v tomova,bul,28,29,1017
65,a bogdan,rou,31,22,1016
66,c giorgi,ita,32,20,1000
67,y yuan,chn,25,30,999
68,y wang,chn,29,24,993
69,y putintseva,kaz,29,26,978
70,v golubic,sui,31,22,978
71,d collins,usa,30,19,962
72,o dodin,fra,27,31,939
73,d shnaider,,19,23,934
74,c busca,esp,26,30,928
75,g minnen,bel,26,22,928
76,a k schmiedlova,svk,29,24,925
77,t korpatsch,ger,28,29,918
78,k pliskova,cze,31,21,902
79,p badosa,esp,26,14,898
80,c tauson,den,21,23,895
81,j cristian,rou,25,30,891
82,a krueger,usa,19,28,886
83,y wickmayer,bel,34,20,883
84,t townsend,usa,27,18,882
85,n podoroska,arg,26,30,867
86,k rakhimova,,22,30,853
87,z bai,chn,21,26,850
88,j burrage,gbr,24,26,844
89,b pera,usa,29,23,836
90,l siegemund,ger,35,16,832
91,r masarova,esp,24,22,819
92,k day,usa,24,24,814
93,n hibino,jpn,29,28,788
94,e bektas,usa,30,22,785
95,a sasnovich,,29,26,783
96,b fruhvirtova,cze,16,16,774
97,a rodionova,aus,34,34,761
98,s errani,ita,36,32,751
99,r zarazua,mex,26,31,740
100,m timofeeva,,20,20,730
101,c osorio,col,22,21,724
102,j grabher,aut,27,20,708
103,h dart,gbr,27,32,699
104,a cornet,fra,34,27,690
105,m b ribera,esp,24,30,688
106,t zidansek,slo,26,23,686
107,m l carle,arg,23,31,686
108,k juvan,slo,23,17,684
109,c liu,usa,23,28,682
110,a parks,usa,23,29,669
111,e mandlik,usa,22,29,655
112,e andreeva,,19,27,653
113,k volynets,usa,22,27,646
114,h baptiste,usa,22,30,641
115,j riera,arg,21,27,640
116,m hontama,jpn,24,28,638
117,i c begu,rou,33,14,633
118,r peterson,swe,28,21,630
119,r sramkova,svk,27,28,630
120,d galfi,hun,25,29,627
121,d semenistaja,lat,21,31,623
122,e arango,col,23,28,611
123,k birrell,aus,25,34,611
124,j ponchet,fra,27,29,610
125,a bondar,hun,26,27,601
126,l fruhvirtova,cze,18,29,599
127,o danilovic,srb,23,16,599
128,l pigossi,bra,29,33,586
129,a l friedsam,ger,30,26,583
130,s bejlek,cze,18,19,574
131,a sharma,aus,28,21,561
132,n p diaz,esp,32,27,556
133,o gadecki,aus,21,30,556
134,a korneeva,,16,12,555
135,d snigur,ukr,21,24,554
136,y starodubtseva,ukr,23,22,554
137,a zakharova,,22,26,552
138,f ferro,fra,26,26,543
139,l davis,usa,30,20,539
140,j niemeier,ger,24,26,536
141,j b maneiro,esp,21,30,534
142,e lys,ger,22,19,533
143,l jeanjean,fra,28,30,533
144,b andreescu,can,23,15,530
145,s vickery,usa,28,24,526
146,e g ruse,rou,26,18,526
147,d saville,aus,29,17,518
148,t martincova,cze,29,26,514
149,m brengle,usa,33,22,511
150,s hunter,aus,29,13,506
151,m uchijima,jpn,22,32,505
152,m kessler,usa,24,24,500
153,a hartono,ned,27,32,500
154,c paquet,fra,29,37,499
155,m c taborda,arg,26,21,490
156,h watson,gbr,31,23,482
157,e seidel,ger,18,24,478
158,l stefanini,ita,25,25,476
159,p udvardy,hun,25,26,476
160,k sebov,can,25,18,468
161,j teichmann,sui,26,30,461
162,p kudermetova,,20,30,461
163,s j jang,kor,28,24,457
164,e makarova,,27,33,457
165,r marino,can,33,24,455
166,a li,usa,23,27,452
167,e jacquemot,fra,20,34,452
168,s sierra,arg,19,24,451
169,c monnet,fra,22,36,448
170,c mcnally,usa,22,15,447
171,p hon,aus,25,25,443
172,k zavatska,ukr,24,25,441
173,h sakatsume,jpn,22,24,440
174,v savinykh,,32,25,439
175,s waltert,sui,23,27,437
176,c naef,sui,18,20,437
177,i bara,rou,28,28,437
178,y l miyazaki,gbr,28,27,436
179,v hruncakova,svk,25,23,435
180,r serban,cyp,26,27,433
181,a bolsova,esp,26,27,430
182,t babos,hun,30,22,429
183,k baindl,ukr,29,18,428
184,z sonmez,tur,21,27,424
185,g knutson,cze,26,24,424
186,j fett,cro,27,20,422
187,a eala,phi,18,25,421
188,s kraus,aut,21,26,418
189,s rogers,usa,31,12,416
190,a tikhonova,,23,31,416
191,v erjavec,slo,24,27,414
192,n n akugue,ger,20,30,413
193,n stevanovic,srb,29,25,411
194,t preston,aus,18,20,409
195,m bulgaru,rou,25,28,405
196,p marcinko,cro,18,19,404
197,m bjorklund,swe,25,15,402
198,k kawa,pol,31,26,398
199,a ruzic,cro,21,25,397
200,f jorge,por,23,28,386
201,l sun,sui,22,20,383
202,d aiava,aus,23,26,383
203,s lamens,ned,24,26,375
204,c wozniacki,den,33,5,372
205,r montgomery,usa,19,21,372
206,d salkova,cze,19,27,372
207,y y yang,tpe,19,20,370
208,v grammatikopoulou,gre,26,33,364
209,d astakhova,,22,23,363
210,a anisimova,usa,22,8,360
211,y x ma,chn,24,24,358
212,d jakupovic,slo,32,39,358
213,c zhao,can,28,32,357
214,i shymanovich,,26,23,353
215,k kanepi,est,38,20,353
216,a mitu,rou,32,18,350
217,l boskovic,cro,24,25,350
218,t gibson,aus,19,22,349
219,s lansere,,23,26,349
220,t lukas,cro,28,29,345
221,a tomljanovic,aus,30,9,342
222,s wei,chn,20,23,342
223,a raina,ind,31,27,341
224,a robbe,fra,23,28,341
225,e kalieva,usa,20,30,339
226,x you,chn,27,26,338
227,s fung,can,26,21,337
228,j kolodynska,,20,21,337
229,j fourlis,aus,24,19,331
230,a todoni,rou,19,21,331
231,s kartal,gbr,22,18,326
232,j brady,usa,28,7,324
233,y in-albon,sui,24,34,324
234,d kovinic,mne,29,15,323
235,p hercog,slo,33,18,321
236,i oz,tur,24,26,320
237,y hatouka,,23,18,318
238,j mikulskyte,ltu,27,29,317
239,n abduraimova,uzb,29,35,316
240,t prozorova,,20,26,314
241,d papamichail,gre,30,33,313
242,l gjorcheska,mkd,29,23,312
243,l chirico,usa,27,30,311
244,s mendez,aus,24,20,310
245,d radanovic,srb,27,22,309
246,g topalova,bul,23,31,309
247,m sawangkaew,tha,21,16,306
248,j avdeeva,,21,21,306
249,a falei,,19,16,305
250,h tan,fra,26,24,302
